ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency, AmtWines , AmtFruits , AmtMeatProducts , AmtFishProducts , AmtSweetProducts , AmtGoldProds ,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,TotalCampaignsAccepted,AgeGroup,HouseholdSize,TotalSpend,EngagementScore
193,1996,Basic,Married," $14,421.00 ",0,0,17/02/2014,81, $-   , $-   , $2 , $3 , $3 , $8 ,1,1,0,2,5,1,0,0,0,0,0,0,Spain,18,1,Teenager,0,16,9
9909,1996,2n Cycle,Married," $7,500.00 ",0,0,11/09/2012,24, $3 , $18 , $14 , $15 , $22 , $50 ,3,3,1,3,9,0,0,0,0,0,1,0,Australia,18,1,Teenager,0,122,19
8315,1995,Graduation,Single," $34,824.00 ",0,0,26/03/2014,65, $4 , $2 , $11 , $2 , $-   , $4 ,1,1,0,2,6,0,0,0,0,0,0,0,US,19,0,Teenager,0,23,10
10548,1995,Graduation,Single," $71,163.00 ",0,0,03/09/2014,30, $283 , $17 , $372 , $138 , $106 , $44 ,1,3,8,12,1,0,0,0,0,0,0,0,Germany,19,0,Teenager,0,960,25
5184,1995,Graduation,Single," $34,824.00 ",0,0,26/03/2014,65, $4 , $2 , $11 , $2 , $-   , $4 ,1,1,0,2,6,0,0,0,0,0,0,0,Spain,19,0,Teenager,0,23,10
4427,1995,2n Cycle,Single," $83,257.00 ",0,0,18/09/2012,56, $536 , $27 , $590 , $38 , $107 , $67 ,1,5,10,12,6,1,0,1,0,0,1,1,Spain,19,3,Teenager,0,1365,34
3661,1995,2n Cycle,Single," $80,617.00 ",0,0,10/12/2012,42, $594 , $51 , $631 , $72 , $55 , $32 ,1,4,6,8,2,0,0,0,0,0,0,0,India,19,0,Teenager,0,1435,21
6905,1994,Graduation,Together," $80,685.00 ",0,0,22/08/2012,55, $241 , $45 , $604 , $34 , $26 , $54 ,1,6,4,10,2,0,0,0,0,0,0,0,Spain,20,0,Youth,0,1004,23
5067,1994,Graduation,Together," $80,134.00 ",0,0,14/02/2014,11, $966 , $26 , $282 , $52 , $26 , $26 ,1,2,7,11,5,0,1,1,1,1,0,0,Spain,20,4,Youth,0,1378,26
10619,1994,Graduation,Single," $95,529.00 ",0,0,12/03/2012,29, $770 , $29 , $890 , $250 , $27 , $24 ,1,7,3,7,3,0,0,1,0,0,1,0,South Africa,20,2,Youth,0,1990,21
5080,1993,Graduation,Single," $70,515.00 ",0,0,21/10/2013,12, $420 , $-   , $452 , $182 , $64 , $140 ,1,6,6,4,2,0,0,0,0,0,1,0,Mexico,21,1,Youth,0,1258,19
7734,1993,Graduation,Absurd," $79,244.00 ",0,0,19/12/2012,58, $471 , $102 , $125 , $212 , $61 , $245 ,1,4,10,7,1,0,0,1,1,0,1,0,Australia,21,3,Youth,0,1216,23
2669,1993,Graduation,Single," $74,293.00 ",0,0,05/04/2014,66, $375 , $152 , $335 , $93 , $91 , $81 ,1,5,4,6,2,0,0,0,0,0,0,0,Spain,21,0,Youth,0,1127,18
4483,1993,Graduation,Single," $72,354.00 ",0,0,17/04/2013,67, $315 , $26 , $473 , $220 , $12 , $182 ,1,2,10,6,1,0,0,0,0,0,0,0,South Africa,21,0,Youth,0,1228,20
10037,1993,Graduation,Single," $74,293.00 ",0,0,05/04/2014,66, $375 , $152 , $335 , $93 , $91 , $81 ,1,5,4,6,2,0,0,0,0,0,0,0,South Africa,21,0,Youth,0,1127,18
4654,1992,Graduation,Together," $75,114.00 ",0,0,11/07/2013,40, $571 , $12 , $523 , $63 , $60 , $24 ,1,3,10,5,2,0,0,0,0,0,0,0,South Africa,22,0,Youth,0,1253,21
4136,1992,Basic,Single," $7,500.00 ",1,0,12/03/2012,63, $10 , $17 , $18 , $8 , $26 , $40 ,4,3,2,2,9,0,0,0,0,0,0,0,Spain,22,0,Youth,1,119,20
7600,1992,Basic,Single," $15,253.00 ",1,0,28/10/2013,13, $1 , $3 , $3 , $8 , $1 , $13 ,2,1,0,3,7,0,0,0,0,0,0,0,Canada,22,0,Youth,1,29,13
4055,1992,Basic,Single," $18,746.00 ",1,0,29/05/2014,41, $2 , $10 , $11 , $12 , $9 , $20 ,2,3,0,3,6,0,0,0,0,0,0,0,Spain,22,0,Youth,1,64,14
2802,1992,2n Cycle,Married," $87,000.00 ",0,0,15/12/2012,61, $196 , $25 , $607 , $67 , $17 , $49 ,1,4,6,7,2,0,0,0,0,0,0,0,Australia,22,0,Youth,0,961,20
821,1992,Master,Single," $92,859.00 ",0,0,19/10/2012,46, $962 , $61 , $921 , $52 , $61 , $20 ,1,5,4,12,2,0,0,0,0,0,0,0,Canada,22,0,Youth,0,2077,24
